country_sua,country_tcf
Afghanistan,afghanistan
Albania,albanie
Algeria,algerie
Angola,angola
Antigua and Barbuda,antigua and barbuda
Argentina,argentina
Armenia,armenia
Australia,australia
Austria,austria
Azerbaijan,azerbaijan
Bahamas,bahamas
Bahrain,bahrain
Bangladesh,bangladesh
Barbados,barbados
Belarus,"belarus, rep. of"
Belgium,belgique-luxembourg
Belize,belize
Benin,benin
Bhutan,bhutan
Bolivia (Plurinational State of),bolivia
Bosnia and Herzegovina,bosnia and herzegovina
Botswana,botswana
Brazil,brazil
Bulgaria,bulgarie
Burkina Faso,burkina faso
Burundi,burundi
Côte d'Ivoire,cote d'ivoire
Cabo Verde,cap-vert
Cambodia,cambodge
Cameroon,cameroun
Canada,canada
Central African Republic,rep. centrafricaine
Chad,tchad
Chile,chile
"China, Hong Kong SAR",hong kong
"China, Macao SAR",
"China, mainland",china (mainland)
"China, Taiwan Province of",
Colombia,colombia
Comoros,comores
Congo,"congo, republique de"
Costa Rica,costa rica
Croatia,croatia
Cuba,cuba
Cyprus,cyprus
Czech Republic,czechk.rep
Democratic People's Republic of Korea,"korea,dem. peop. rep. of"
Democratic Republic of the Congo,"congo,rep dem du"
Denmark,denmark
Djibouti,djibouti
Dominica,dominica
Dominican Republic,republica dominicana
Ecuador,ecuador
Egypt,egypt
El Salvador,el salvador
Estonia,"estonia, rep. of"
Eswatini,swaziland
Ethiopia,ethiopia
Fiji,fiji
Finland,finland
France,france
French Polynesia,polynesie franaise
Gabon,gabon
Gambia,gambia
Georgia,georgia
Germany,germany
Ghana,ghana
Greece,grece
Grenada,grenada
Guatemala,guatemala
Guinea,guinee
Guinea-Bissau,guinee-bissau
Guyana,guyana
Haiti,haiti
Honduras,honduras
Hungary,hungary
Iceland,iceland
India,india
Indonesia,indonesia
Iran (Islamic Republic of),"iran, islamic rep. of"
Iraq,iraq
Ireland,ireland
Israel,israel
Italy,italie
Jamaica,jamaica
Japan,japan
Jordan,jordan
Kazakhstan,kazakhstan
Kenya,kenya
Kiribati,kiribati
Kuwait,kuwait
Kyrgyzstan,kyrgyzstan
Lao People's Democratic Republic,laos
Latvia,"latvia, rep. of"
Lebanon,liban
Lesotho,lesotho
Liberia,liberia
Libya,libya
Lithuania,"lithuania, rep. of"
Luxembourg,
Madagascar,madagascar
Malawi,malawi
Malaysia,malaysia
Maldives,maldives
Mali,mali
Malta,malta
Marshall Islands,
Mauritania,mauritanie
Mauritius,mauritius
Mexico,mexico
Micronesia (Federated States of),"small pacific islands"
Mongolia,mongolia
Montenegro,"yugoslavia,fed.rep."
Morocco,maroc
Mozambique,mozambique
Myanmar,myanmar
Namibia,namibia
Nauru,nauru
Nepal,nepal
Netherlands,netherlands
New Caledonia,nouvelle-caledonie
New Zealand,new zealand
Nicaragua,nicaragua
Niger,niger
Nigeria,nigeria
North Macedonia,macedonia
Norway,norway
Oman,oman
Pakistan,pakistan
Panama,panama
Papua New Guinea,papua new guinea
Paraguay,paraguay
Peru,peru
Philippines,philippines
Poland,poland
Portugal,portugal
Qatar,qatar
Republic of Korea,"korea, republic of"
Republic of Moldova,"moldova, rep. of"
Romania,roumanie
Russian Federation,russian federation
Rwanda,rwanda
Saint Kitts and Nevis,st. kitts and nevis
Saint Lucia,saint lucia
Saint Vincent and the Grenadines,saint vincent/grenadines
Samoa,samoa
Sao Tome and Principe,sao tome-et-principe
Saudi Arabia,"saudi arabia, kingdom of"
Senegal,senegal
Serbia,
Seychelles,seychelles
Sierra Leone,sierra leone
Slovakia,slovakia
Slovenia,slovenia
Solomon Islands,solomon islands
Somalia,somalia
South Africa,south africa
South Sudan,
Spain,espaa
Sri Lanka,sri lanka
Sudan,sudan
Suriname,suriname
Sweden,sweden
Switzerland,suisse
Syrian Arab Republic,syria
Tajikistan,tajikistan
Thailand,thailand
Timor-Leste,
Togo,togo
Tonga,tonga
Trinidad and Tobago,trinidad and tobago
Tunisia,tunisie
Turkey,turkey
Turkmenistan,turkmenistan
Tuvalu,tuvalu
Uganda,uganda
Ukraine,ukraine
United Arab Emirates,united arab emirates
United Kingdom,united kingdom
United Republic of Tanzania,tanzania
United States of America,united states of america
Uruguay,uruguay
Uzbekistan,uzbekistan
Vanuatu,vanuatu
Venezuela (Bolivarian Republic of),venezuela
Viet Nam,viet nam
Yemen,yemen
Zambia,zambia
Zimbabwe,zimbabwe
