"GLORIA_region","GLORIA_region_code","FABIO_area","FABIO_area_code","FABIO_iso3c","comment"
"Afghanistan","AFG","Afghanistan",2,"AFG",
"Albania","ALB","Albania",3,"ALB",
"Algeria","DZA","Algeria",4,"DZA",
"Angola","AGO","Angola",7,"AGO",
"Argentina","ARG","Argentina",9,"ARG",
"Armenia","ARM","Armenia",1,"ARM",
"Australia","AUS","Australia",10,"AUS",
"Austria","AUT","Austria",11,"AUT",
"Azerbaijan","AZE","Azerbaijan",52,"AZE",
"Bahamas","BHS","Bahamas",12,"BHS",
"Bahrain","BHR","Bahrain",13,"BHR",
"Bangladesh","BGD","Bangladesh",16,"BGD",
"Belarus","BLR","Belarus",57,"BLR",
"Belgium","BEL","Belgium",255,"BEL",
"Belize","BLZ","Belize",23,"BLZ",
"Benin","BEN","Benin",53,"BEN",
"Bhutan","BTN","RoW",999,"ROW",
"Bolivia","BOL","Bolivia (Plurinational State of)",19,"BOL",
"Bosnia and Herzegovina","BIH","Bosnia and Herzegovina",80,"BIH",
"Botswana","BWA","Botswana",20,"BWA",
"Brazil","BRA","Brazil",21,"BRA",
"Brunei Darussalam","BRN","RoW",999,"ROW",
"Bulgaria","BGR","Bulgaria",27,"BGR",
"Burkina Faso","BFA","Burkina Faso",233,"BFA",
"Burundi","BDI","Burundi",29,"BDI",
"Cambodia","KHM","Cambodia",115,"KHM",
"Cameroon","CMR","Cameroon",32,"CMR",
"Canada","CAN","Canada",33,"CAN",
"Central African Republic","CAF","Central African Republic",37,"CAF",
"Chad","TCD","Chad",39,"TCD",
"Chile","CHL","Chile",40,"CHL",
"China","CHN","China, mainland",41,"CHN",
"Colombia","COL","Colombia",44,"COL",
"Costa Rica","CRI","Costa Rica",48,"CRI",
"Cote d'Ivoire","CIV","Côte d'Ivoire",107,"CIV",
"Croatia","HRV","Croatia",98,"HRV",
"CSSR/Czech Republic (1990/1991)","CZE","Czech Republic",167,"CZE",
"Cuba","CUB","Cuba",49,"CUB",
"Cyprus","CYP","Cyprus",50,"CYP",
"Denmark","DNK","Denmark",54,"DNK",
"Djibouti","DJI","Djibouti",72,"DJI",
"Dominican Republic","DOM","Dominican Republic",56,"DOM",
"DR Congo","COD","Democratic Republic of the Congo",250,"COD",
"DR Yemen (Aden)","DYE","Yemen",249,"YEM",
"Ecuador","ECU","Ecuador",58,"ECU",
"Egypt","EGY","Egypt",59,"EGY",
"El Salvador","SLV","El Salvador",60,"SLV",
"Equatorial Guinea","GNQ","RoW",999,"ROW",
"Eritrea","ERI","RoW",999,"ROW",
